	Epithelial	Hybrid	Mesenchymal	mean_all
ct_skcm_tcga	0.4287646	0.003804932	0.14729482	0.19328813
ct_lgg_tcga	0.37494865	0.15568483	0.0047042803	0.17844592
ct_sarc_tcga	0.13157403	0.0754906	0.23086648	0.14597704
ct_prad_tcga	0.0025279082	0.04451252	0.22746094	0.09150045
ct_lihc_tcga	0.005909684	0.17192444	0.03609926	0.07131112
ct_cesc_tcga	0.06267981	0.0051598563	0.12471847	0.064186044
ct_blca_tcga	0.12495629	0.036916196	0.028656129	0.06350953
ct_hnsc_tcga	0.09968611	0.0032510632	0.07630852	0.05974856
ct_gbm_tcga	0.11160241	0.00033655504	0.040180385	0.05070645
ct_ucec_tcga	0.0639966	0.0047705327	0.056336753	0.0417013
ct_brca_tcga	0.005240216	0.046311237	0.05023944	0.033930298
ct_luad_tcga	0.0022548921	0.060857538	0.036086775	0.033066403
ct_acc_tcga	0.04750297	0.023284502	0.0048448797	0.025210785
has_any_emt_mutation	0.022124102	0.03444017	0.018345814	0.02497003
ct_paad_tcga	0.004959033	0.00910063	0.035818674	0.016626112
ct_kich_tcga	0.016681615	0.0011807474	0.025843859	0.014568741
ct_ov_tcga	0.01378305	0.0013859	0.018111128	0.011093359
ct_stad_tcga	0.0	0.032645784	0.0	0.010881928
ct_esca_tcga	0.00055729767	0.028849104	0.002727994	0.010711465
ct_ucs_tcga	0.015327151	0.0013363047	0.013491661	0.010051706
ct_lusc_tcga	0.0044046408	0.018770052	0.006609543	0.009928078
ct_chol_tcga	0.0033791438	0.00080446596	0.009591795	0.0045918017
idr_mut_ZEB1	0.0032759495	0.0053995466	0.0014514419	0.003375646
idr_mut_ZEB2	0.0025703248	0.005451903	0.0015358051	0.003186011
idr_mut_ESRP1	0.00014245078	0.0028082596	0.003254247	0.0020683191
idr_mut_ESRP2	0.002000825	0.0003091962	0.0032408116	0.0018502777
idr_mut_SNAI1	0.00052250654	0.0011772088	0.0007925338	0.00083074975
idr_mut_CDH1	0.00010209957	0.0009617219	0.000705892	0.0005899045
idr_mut_SNAI2	0.0002979055	0.0002617445	0.0	0.00018655001
idr_mut_VIM	0.0	0.0	0.0	0.0
idr_mut_TWIST2	0.0	0.0	0.0	0.0
idr_mut_TWIST1	0.0	0.0	0.0	0.0
